epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,338.603,1.65993,3.49712,1.75989,0.18001,0.24832,0.11649,0.03934,1.77226,20.1497,1.87351,0.000475246,0.000475246,0.000475246
2,706.954,1.7653,2.6514,1.83987,0.28061,0.26148,0.17791,0.06429,1.7767,9.60577,1.89671,0.000932738,0.000932738,0.000932738
3,1059.95,1.76911,2.47424,1.8478,0.21745,0.24602,0.14547,0.05007,1.9937,4.18583,2.05933,0.00137137,0.00137137,0.00137137
4,299.328,1.75311,2.42563,1.82071,0.25527,0.30004,0.17922,0.07098,1.76333,6.10285,1.87098,0.00134412,0.00134412,0.00134412
5,609.056,1.68345,2.26574,1.75899,0.3246,0.34785,0.28673,0.11925,1.60004,6.50401,1.78159,0.00131582,0.00131582,0.00131582
6,922.21,1.63334,2.17708,1.73586,0.39364,0.36385,0.30652,0.117,1.63714,4.29657,1.68438,0.00128753,0.00128753,0.00128753
7,1240.04,1.65061,2.16947,1.7348,0.49271,0.33857,0.35139,0.14905,1.66337,5.12067,1.71981,0.00125923,0.00125923,0.00125923
8,1554.52,1.59973,2.10734,1.69995,0.45989,0.39944,0.37966,0.17282,1.57605,4.24393,1.68937,0.00123094,0.00123094,0.00123094
9,1871.55,1.58809,2.06815,1.68612,0.38983,0.40004,0.38962,0.17098,1.57029,5.74975,1.65105,0.00120265,0.00120265,0.00120265
10,2182.37,1.58231,2.03675,1.67825,0.48825,0.44299,0.42916,0.2062,1.44882,4.37463,1.53848,0.00117435,0.00117435,0.00117435
11,2495.94,1.54811,1.95521,1.65548,0.53707,0.40246,0.43365,0.19918,1.52247,4.13097,1.58624,0.00114606,0.00114606,0.00114606
12,2804.88,1.54464,1.94598,1.66265,0.54894,0.43466,0.43312,0.20506,1.48846,8.46605,1.59398,0.00111776,0.00111776,0.00111776
13,3110.74,1.52633,1.89555,1.63806,0.55992,0.47537,0.47672,0.23198,1.4228,5.13828,1.51762,0.00108947,0.00108947,0.00108947
14,3417.48,1.50678,1.8696,1.62451,0.51335,0.46752,0.47486,0.21463,1.49569,3.03909,1.57551,0.00106118,0.00106118,0.00106118
15,3724.84,1.50479,1.85018,1.61113,0.50564,0.50024,0.4938,0.23904,1.48109,2.1831,1.52152,0.00103288,0.00103288,0.00103288
16,4031.39,1.51452,1.85321,1.61369,0.59071,0.51597,0.52649,0.25425,1.46882,4.0858,1.51471,0.00100459,0.00100459,0.00100459
17,4337.31,1.49346,1.78644,1.59854,0.53531,0.46253,0.49155,0.23175,1.4657,2.54827,1.52901,0.000976293,0.000976293,0.000976293
18,4643.25,1.48927,1.81603,1.60052,0.56977,0.51312,0.53339,0.26852,1.43739,3.67068,1.47971,0.000947999,0.000947999,0.000947999
19,4949.34,1.47558,1.76824,1.58661,0.583,0.50143,0.52147,0.24718,1.43778,3.66761,1.50163,0.000919704,0.000919704,0.000919704
20,5255.22,1.47486,1.76732,1.58093,0.59598,0.53967,0.54486,0.26609,1.48605,2.91112,1.539,0.00089141,0.00089141,0.00089141
21,5561.53,1.4641,1.72393,1.58011,0.60096,0.52464,0.55273,0.2699,1.39836,3.66042,1.46778,0.000863116,0.000863116,0.000863116
22,5867.44,1.44478,1.69149,1.56139,0.59434,0.51809,0.55811,0.28216,1.43165,2.68594,1.45354,0.000834822,0.000834822,0.000834822
23,6173.36,1.43476,1.67078,1.54482,0.5945,0.57996,0.5934,0.30139,1.3457,3.28739,1.4101,0.000806528,0.000806528,0.000806528
24,6478.98,1.43361,1.67719,1.55782,0.59727,0.53331,0.56736,0.28605,1.42961,2.78354,1.46067,0.000778233,0.000778233,0.000778233
25,6784.93,1.42466,1.64996,1.53284,0.63239,0.57489,0.5938,0.29357,1.37303,2.61929,1.43787,0.000749939,0.000749939,0.000749939
26,7090.55,1.42731,1.64856,1.54994,0.59659,0.53556,0.57737,0.29811,1.38753,2.78795,1.48206,0.000721645,0.000721645,0.000721645
27,7396.41,1.39909,1.61406,1.52811,0.6439,0.54617,0.60201,0.31396,1.38218,2.30486,1.4396,0.000693351,0.000693351,0.000693351
28,7701.93,1.39624,1.59461,1.52751,0.68918,0.52311,0.60145,0.31794,1.33684,2.69074,1.41696,0.000665057,0.000665057,0.000665057
29,8007.55,1.40396,1.57777,1.52233,0.65334,0.54869,0.59535,0.30614,1.36123,2.13488,1.42645,0.000636762,0.000636762,0.000636762
30,8313.3,1.38223,1.5534,1.50827,0.65125,0.58388,0.61967,0.31758,1.36479,2.205,1.42931,0.000608468,0.000608468,0.000608468
31,8620.07,1.38043,1.55499,1.50944,0.63216,0.57808,0.58805,0.30894,1.37582,2.06875,1.42749,0.000580174,0.000580174,0.000580174
32,8925.97,1.35926,1.50996,1.49391,0.68586,0.57616,0.63327,0.32842,1.3597,1.97098,1.42087,0.00055188,0.00055188,0.00055188
33,9231.49,1.3755,1.53186,1.49662,0.60338,0.56888,0.5964,0.30429,1.34493,1.9721,1.40375,0.000523586,0.000523586,0.000523586
34,9536.47,1.34775,1.50127,1.49282,0.66474,0.58279,0.62558,0.33355,1.33191,2.04574,1.40533,0.000495291,0.000495291,0.000495291
35,9841.94,1.34023,1.47948,1.4863,0.65471,0.61297,0.64656,0.33946,1.33288,1.85309,1.41571,0.000466997,0.000466997,0.000466997
36,10147.3,1.35439,1.47548,1.48711,0.64984,0.60332,0.63916,0.33999,1.34691,2.10557,1.41326,0.000438703,0.000438703,0.000438703
37,10452,1.33584,1.44443,1.48087,0.62782,0.59537,0.6241,0.32947,1.34477,1.85465,1.4252,0.000410409,0.000410409,0.000410409
38,10757.4,1.32924,1.43238,1.46744,0.64245,0.60519,0.63432,0.33516,1.34656,2.54736,1.41755,0.000382115,0.000382115,0.000382115
39,11062.7,1.31531,1.41325,1.45671,0.68984,0.58213,0.63828,0.34051,1.37281,1.61175,1.44706,0.00035382,0.00035382,0.00035382
40,11368.5,1.31145,1.38998,1.46222,0.64192,0.63849,0.651,0.34779,1.35417,2.0099,1.41489,0.000325526,0.000325526,0.000325526
41,11705.7,1.35404,1.27321,1.51554,0.65613,0.61775,0.64709,0.34748,1.31413,1.8405,1.39411,0.000297232,0.000297232,0.000297232
42,12010.7,1.34127,1.24507,1.50836,0.65736,0.61706,0.64991,0.34731,1.32922,1.78912,1.41089,0.000268938,0.000268938,0.000268938
43,12316.1,1.33366,1.22316,1.502,0.67221,0.6203,0.65013,0.34728,1.32653,1.73288,1.40838,0.000240644,0.000240644,0.000240644
44,12620.9,1.31421,1.18799,1.48262,0.70521,0.62749,0.66536,0.35313,1.31647,1.65612,1.39148,0.000212349,0.000212349,0.000212349
45,12925.6,1.30946,1.19082,1.47675,0.69851,0.62258,0.66199,0.35497,1.30587,1.57697,1.38724,0.000184055,0.000184055,0.000184055
46,13230.2,1.29585,1.16291,1.46422,0.66595,0.63796,0.66963,0.3505,1.30806,1.7503,1.39364,0.000155761,0.000155761,0.000155761
47,13535,1.275,1.13617,1.45345,0.72869,0.62043,0.67156,0.36116,1.30486,1.64157,1.38195,0.000127467,0.000127467,0.000127467
48,13839.5,1.25618,1.09475,1.43424,0.71433,0.63828,0.68119,0.36369,1.30294,1.61154,1.39017,9.91726e-05,9.91726e-05,9.91726e-05
49,14143.3,1.25367,1.10637,1.43806,0.67679,0.64078,0.6723,0.3598,1.29106,1.6823,1.38763,7.08784e-05,7.08784e-05,7.08784e-05
50,14447.4,1.2383,1.07011,1.42867,0.75349,0.61083,0.67454,0.36235,1.3015,1.70206,1.39019,4.25842e-05,4.25842e-05,4.25842e-05
