epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,864.915,1.61042,3.06752,1.59577,0.47584,0.38068,0.3594,0.15081,1.51779,13.8503,1.37417,0.00999017,0.00333006,0.00999017,0.00333006,0.00999017,0.00333006,0.00999017,0.00333006
2,1641.07,1.68445,2.25056,1.63878,0.28586,0.29458,0.19735,0.08269,1.73856,26.229,1.81968,0.0195944,0.00653145,0.0195944,0.00653145,0.0195944,0.00653145,0.0195944,0.00653145
3,2389.8,1.78886,2.17443,1.70526,0.33925,0.32506,0.26697,0.11148,1.66739,22.1483,1.62841,0.0288026,0.00960085,0.0288026,0.00960085,0.0288026,0.00960085,0.0288026,0.00960085
4,3129.9,1.79953,2.1415,1.74646,0.36054,0.36284,0.28784,0.12155,1.61861,14.776,1.53329,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3868.21,1.74162,2.00795,1.70086,0.51064,0.4537,0.45152,0.20547,1.41434,5.65069,1.37579,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,4608.38,1.68061,1.87704,1.64959,0.5407,0.46381,0.46381,0.20898,1.43024,6.88297,1.38057,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,5345.88,1.64838,1.80807,1.61386,0.53716,0.51906,0.51552,0.24546,1.37555,5.0989,1.33459,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,6083.54,1.61635,1.7454,1.59908,0.61046,0.5192,0.55965,0.27146,1.3469,3.61222,1.29451,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,6822.2,1.58445,1.67714,1.56695,0.60959,0.51588,0.57439,0.28168,1.33009,4.84213,1.25991,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,7561.79,1.5874,1.65181,1.56404,0.6008,0.53834,0.57093,0.28316,1.32131,3.80948,1.2771,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,8301.63,1.55799,1.60438,1.54525,0.62319,0.54396,0.59073,0.29792,1.31955,2.96086,1.30518,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,9043.99,1.54941,1.57397,1.53444,0.62023,0.59189,0.63266,0.31539,1.28868,4.18976,1.24029,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,9784.98,1.52993,1.54916,1.52878,0.65221,0.57235,0.62186,0.31835,1.27005,2.8922,1.23113,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,10525.4,1.51953,1.52969,1.513,0.65595,0.57283,0.64131,0.33293,1.26808,2.95502,1.25177,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,11267.8,1.49737,1.49193,1.50866,0.66213,0.58239,0.65041,0.33395,1.28972,3.56856,1.25842,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,12010.3,1.49973,1.47666,1.49458,0.66608,0.59366,0.65842,0.34098,1.25873,2.71105,1.21925,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,12752.5,1.4874,1.45269,1.49097,0.6604,0.62125,0.67365,0.35301,1.23521,3.45154,1.20278,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
