timestamp,alert_type,region_id,detail,region_pixels,closest_mm,center_x,center_y
2026-05-21T16:20:49.877818,WARNING,WARNING_42_93_8,"HOT region in valid range | closest=577mm | center=(42,93)",8,577,42,93
2026-05-21T16:20:49.955083,WARNING,WARNING_43_102_6,"HOT region in valid range | closest=553mm | center=(43,102)",6,553,43,102
2026-05-21T16:20:50.642589,CRITICAL,CRITICAL_21_94_76,"DANGEROUS region in valid range | closest=523mm | center=(21,94)",76,523,21,94
2026-05-21T16:20:50.642589,WARNING,WARNING_20_93_101,"HOT region in valid range | closest=522mm | center=(20,93)",101,522,20,93
2026-05-21T16:20:50.681889,WARNING,WARNING_20_90_23,"HOT region in valid range | closest=523mm | center=(20,90)",23,523,20,90
2026-05-21T16:20:51.840893,CRITICAL,CRITICAL_24_97_147,"DANGEROUS region in valid range | closest=476mm | center=(24,97)",147,476,24,97
2026-05-21T16:20:51.840893,WARNING,WARNING_21_97_82,"HOT region in valid range | closest=478mm | center=(21,97)",82,478,21,97
2026-05-21T16:20:51.917522,CRITICAL,CRITICAL_36_100_264,"DANGEROUS region in valid range | closest=482mm | center=(36,100)",264,482,36,100
2026-05-21T16:20:51.917522,WARNING,WARNING_33_100_98,"HOT region in valid range | closest=482mm | center=(33,100)",98,482,33,100
2026-05-21T16:20:51.985639,CRITICAL,CRITICAL_57_107_319,"DANGEROUS region in valid range | closest=495mm | center=(57,107)",319,495,57,107
2026-05-21T16:20:51.985639,WARNING,WARNING_57_106_117,"HOT region in valid range | closest=491mm | center=(57,106)",117,491,57,106
2026-05-21T16:20:52.053836,CRITICAL,CRITICAL_64_120_213,"DANGEROUS region in valid range | closest=503mm | center=(64,120)",213,503,64,120
2026-05-21T16:20:52.053836,WARNING,WARNING_88_104_26,"HOT region in valid range | closest=913mm | center=(88,104)",26,913,88,104
2026-05-21T16:20:52.053836,WARNING,WARNING_62_119_64,"HOT region in valid range | closest=500mm | center=(62,119)",64,500,62,119
2026-05-21T16:20:52.121798,CRITICAL,CRITICAL_63_121_134,"DANGEROUS region in valid range | closest=502mm | center=(63,121)",134,502,63,121
2026-05-21T16:20:52.121798,WARNING,WARNING_62_120_67,"HOT region in valid range | closest=500mm | center=(62,120)",67,500,62,120
2026-05-21T16:20:52.160729,WARNING,WARNING_84_106_107,"HOT region in valid range | closest=541mm | center=(84,106)",107,541,84,106
2026-05-21T16:20:52.160729,WARNING,WARNING_51_111_57,"HOT region in valid range | closest=484mm | center=(51,111)",57,484,51,111
2026-05-21T16:20:52.240445,CRITICAL,CRITICAL_65_103_204,"DANGEROUS region in valid range | closest=489mm | center=(65,103)",204,489,65,103
